,NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_ST_CONCLUSAO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,NU_NOTA_REDACAO,ESC_PAI,ESC_MAE,PESSOAS_RESIDENCIA,BANHEIRO,QUARTOS,CARRO,CELULAR,FIXO,COMPUTADOR,INTERNET,Q026,TIPO_EM,RENDA,NOTA_TESTES,NOTA_ENEM
171957,170003469518,MT,26.0,F,0.0,1,0,605.4,657.4,542.4,625.7,1,560.0,E,D,6.0,C,C,A,E,A,B,A,A,C,3020.091574794134,2430.9,2990.9
127898,170005286919,CE,17.0,M,0.0,2,0,698.5,649.0,630.6,839.0,0,860.0,F,F,2.0,C,D,C,B,A,B,B,B,D,3611.589779833228,2817.1,3677.1
132925,170005113172,MA,21.0,M,0.0,1,0,591.0,643.8,597.9,553.1,0,940.0,D,D,3.0,B,D,A,D,A,B,B,A,A,1375.4541820280542,2385.8,3325.8
119870,170005346442,PR,17.0,F,0.0,2,0,525.6,441.2,509.4,453.8,0,520.0,E,E,4.0,B,C,B,C,A,B,B,B,A,2079.516468945639,1930.0,2450.0
122904,170004476042,DF,26.0,F,0.0,1,0,538.0,408.8,523.9,451.1,1,460.0,B,C,2.0,B,B,B,C,A,A,A,A,A,1364.0951186255893,1921.8,2381.8
38135,170005299204,SP,24.0,M,0.0,1,0,437.0,512.4,537.5,508.8,0,520.0,E,F,3.0,C,C,A,C,B,B,B,A,A,1026.301809784513,1995.7,2515.7
3769,170005252481,CE,17.0,M,0.0,2,0,676.7,673.3,620.3,862.9,0,960.0,F,D,4.0,C,C,C,D,B,D,B,B,D,3456.805543784547,2833.2,3793.2
80505,170004034982,BA,16.0,F,0.0,3,1,463.7,550.2,513.7,415.7,0,480.0,H,E,4.0,B,C,A,B,B,B,B,C,A,826.3280426740145,1943.3,2423.3
147236,170000107893,PR,18.0,F,0.0,2,0,544.9,595.0,567.8,497.5,0,560.0,E,E,4.0,B,D,B,D,A,B,B,B,A,1662.5713893132274,2205.2,2765.2
130646,170002888340,AP,20.0,F,0.0,1,0,578.1,511.5,543.2,544.0,1,700.0,B,B,8.0,B,C,A,B,A,A,A,A,A,133.59196688047518,2176.8,2876.8
70740,170001905453,RO,21.0,F,0.0,1,0,490.2,420.2,443.1,495.5,1,340.0,B,B,3.0,B,D,A,D,B,B,B,A,A,752.7322590712167,1849.0,2189.0
30023,170002207865,PE,22.0,F,0.0,1,0,508.2,533.1,533.6,397.1,0,620.0,C,C,6.0,C,D,B,D,A,A,B,A,A,1088.0372496361654,1972.0,2592.0
57746,170002065327,AC,33.0,M,1.0,1,0,478.3,584.3,548.5,518.7,1,560.0,H,C,4.0,B,C,A,C,A,B,A,A,A,650.6547381411892,2129.8,2689.8
133493,170000577807,PB,25.0,F,1.0,1,0,485.2,611.2,536.9,400.6,1,580.0,C,B,2.0,B,C,A,C,A,C,B,A,A,1705.198297893718,2033.9,2613.9
25327,170006148207,RS,18.0,F,0.0,2,0,467.2,524.5,598.5,678.3,1,600.0,E,E,3.0,B,E,B,D,B,A,B,B,A,2343.4417697646077,2268.5,2868.5
101777,170003818574,MS,20.0,M,0.0,1,0,574.7,583.7,566.8,632.9,0,620.0,C,F,4.0,B,B,A,B,A,B,A,A,A,992.380280474451,2358.1,2978.1
182456,170001589545,PB,24.0,F,0.0,1,0,480.7,404.8,466.5,416.6,1,600.0,B,B,4.0,B,C,A,B,A,A,A,A,A,887.522183208219,1768.6,2368.6
51994,170000899125,SP,27.0,F,0.0,1,0,433.3,494.1,504.5,362.5,1,680.0,B,A,1.0,B,B,A,B,A,B,A,A,A,1330.6040505624885,1794.4,2474.4
15079,170003228281,MA,40.0,F,3.0,1,0,475.4,471.3,458.4,478.9,1,440.0,A,B,2.0,B,C,A,B,A,A,A,A,A,882.4862044743114,1884.0,2324.0
59819,170002213272,PI,19.0,F,0.0,1,0,460.6,570.1,503.4,380.4,1,600.0,C,C,3.0,B,D,A,C,A,B,B,A,A,411.06601790765677,1914.5,2514.5
78833,170004940334,MG,21.0,F,0.0,1,0,515.9,531.8,487.6,376.9,1,400.0,B,B,4.0,B,D,A,D,A,B,B,A,A,1343.1999773368848,1912.2,2312.2
177247,170002340416,BA,20.0,M,0.0,1,0,633.8,663.0,539.5,495.9,1,480.0,B,B,4.0,B,C,B,B,A,B,A,A,A,1243.290938650063,2332.2,2812.2
142154,170006193735,SC,34.0,F,,1,0,580.5,549.7,519.6,561.3,0,380.0,H,C,4.0,B,D,B,E,A,B,B,A,A,1563.4620699367167,2211.100000000001,2591.100000000001
101350,170004781731,MG,17.0,M,0.0,2,0,406.0,436.0,382.4,581.0,0,640.0,E,G,2.0,B,D,A,C,A,B,B,B,A,1642.9772799754141,1805.4,2445.4
26264,170000184883,BA,23.0,F,0.0,1,0,443.1,521.7,554.3,447.4,1,560.0,C,C,3.0,B,C,A,C,A,A,A,A,A,2170.7114140808994,1966.5,2526.5
135690,170001737105,PB,18.0,M,0.0,1,0,541.6,530.5,510.4,553.6,0,400.0,B,C,7.0,B,D,A,D,A,A,A,A,A,684.183454594905,2136.1,2536.1
79561,170006730732,SP,18.0,F,0.0,1,0,501.3,525.6,554.7,610.7,0,660.0,E,E,6.0,B,D,B,B,A,B,B,A,D,3130.4375074259838,2192.3,2852.3
72256,170004700940,AM,18.0,M,0.0,2,0,490.7,537.7,508.8,464.2,0,480.0,D,D,3.0,B,C,B,D,B,B,B,B,A,3145.41709646888,2001.4,2481.4
48960,170000133839,PR,17.0,F,0.0,2,0,482.7,428.2,473.9,416.7,1,680.0,D,C,4.0,C,D,B,E,A,B,B,B,A,193.0751604150981,1801.5,2481.5
87360,170005893478,SC,17.0,M,0.0,2,0,511.0,494.1,412.2,471.1,1,560.0,B,B,5.0,B,E,B,C,A,B,A,B,A,75.67910776789527,1888.4,2448.4
109371,170003570744,SP,19.0,F,0.0,1,0,399.0,520.7,481.8,555.6,1,540.0,B,B,6.0,B,C,A,D,A,A,B,A,A,2134.9924979741404,1957.1,2497.1
139258,170004491463,SP,18.0,F,0.0,2,0,410.8,582.1,623.3,696.3,1,600.0,E,E,6.0,D,E,C,E,B,D,B,B,D,5021.4630490003665,2312.5,2912.5
138179,170005090931,MA,16.0,F,0.0,3,1,620.1,653.8,600.9,726.0,0,780.0,G,G,4.0,E,D,C,E,B,C,B,C,D,20018.08271061527,2600.8,3380.8
191400,170002825380,SP,18.0,M,0.0,2,0,508.9,479.3,520.4,596.0,1,0.0,D,E,2.0,B,C,B,C,A,B,B,B,A,1790.2420580837045,2104.6,2104.6
65035,170004099591,PE,16.0,M,0.0,3,1,455.3,414.2,385.6,436.9,0,440.0,B,C,4.0,B,C,A,D,A,B,B,C,A,803.2224319959787,1692.0,2132.0
196231,170001794448,DF,17.0,F,0.0,2,0,447.1,646.6,598.8,625.1,1,540.0,E,G,4.0,B,C,B,D,B,B,B,B,A,1814.1984207740784,2317.6,2857.6
165892,170004045256,BA,28.0,F,0.0,1,0,604.1,651.0,582.5,354.7,1,720.0,E,F,2.0,B,C,B,B,A,B,B,A,D,696.2954721598799,2192.3,2912.3
25206,170003800850,SP,18.0,F,0.0,2,0,512.0,534.9,526.3,518.4,0,560.0,H,E,3.0,B,B,A,D,A,B,B,B,A,1083.2281981395527,2091.6,2651.6
94893,170001263542,RJ,18.0,F,0.0,2,0,420.4,538.5,498.5,507.7,0,540.0,B,B,3.0,B,C,A,B,A,A,A,B,A,893.9789857991854,1965.1,2505.100000000001
116865,170002354699,AP,19.0,M,0.0,3,0,418.2,487.7,476.6,368.3,1,460.0,D,C,3.0,B,C,A,C,A,B,A,C,A,934.2175934368864,1750.8,2210.8
35751,170006389161,RO,17.0,F,0.0,2,0,403.3,407.1,491.3,430.3,1,520.0,D,D,6.0,C,D,B,D,A,A,A,B,A,1155.997464322793,1732.0,2252.0
58054,170005142315,RJ,66.0,F,,1,0,518.2,621.9,563.6,530.2,1,560.0,B,D,1.0,B,C,A,B,A,B,B,A,A,798.7583387488173,2233.9,2793.9
33465,170001346410,DF,24.0,F,1.0,1,0,498.5,477.3,539.9,519.0,1,520.0,E,E,2.0,B,C,B,C,A,A,B,A,A,2660.5374578893843,2034.7,2554.7
37012,170005285590,MG,17.0,M,0.0,2,0,611.8,621.3,605.7,739.7,0,600.0,E,E,4.0,C,D,B,D,A,B,B,B,A,2137.5527258391853,2578.5,3178.5
35584,170003166669,SP,15.0,F,0.0,3,1,598.4,551.3,569.0,669.9,0,760.0,F,G,4.0,D,D,C,C,B,C,B,C,D,4543.284691903521,2388.6,3148.6
